,State,Area_Name,pov_all,pov_under17,median_income,no_high_school,no_bachelor,unemployment,pop,n_killed,n_injured,victims_involved,suspects_identified,teen_participants
913,KS,Butler,9.0,10.0,"60,836",18.9,83.9,7.840000000000001,20126.0,4.0,0.0,2.0,4.0,0.0
914,KS,Chase,11.0,15.0,"44,940",9.6,75.80000000000001,3.9599999999999995,2664.6,7.0,8.0,11.0,31.0,7.0
915,KS,Chautauqua,18.0,25.0,"40,859",12.0,81.7,5.52,3425.4,1.0,0.0,2.0,6.0,0.0
916,KS,Cherokee,16.0,23.0,"41,140",18.7,86.1,5.5200000000000005,25855.0,2.0,2.0,4.0,4.0,0.0
917,KS,Cheyenne,11.0,17.0,"42,649",9.4,76.69999999999999,2.8,1838.6,0.0,2.0,2.0,4.0,0.0
918,KS,Clark,12.0,17.0,"51,280",13.5,75.3,6.08,22494.8,0.0,1.0,1.0,2.0,1.0
919,KS,Clay,10.0,15.0,"50,291",25.4,89.0,6.36,13407.4,2.0,4.0,5.0,8.0,2.0
920,KS,Cloud,13.0,17.0,"42,431",8.0,79.8,4.220000000000001,9190.6,0.0,0.0,0.0,4.0,0.0
921,KS,Coffey,10.0,12.0,"57,224",7.3,78.89999999999999,5.82,8328.2,6.0,12.0,14.0,10.0,2.0
923,KS,Cowley,14.0,18.0,"45,907",10.9,80.6,4.72,35731.6,2.0,7.0,9.0,0.0,2.0
924,KS,Crawford,22.0,23.0,"39,521",14.7,86.5,5.2,62118.6,1.0,3.0,2.0,8.0,0.0
925,KS,Decatur,15.0,22.0,"41,095",20.5,83.1,7.359999999999999,27023.0,2.0,0.0,2.0,0.0,0.0
926,KS,Dickinson,11.0,15.0,"50,268",4.4,71.0,4.4,16999.8,2.0,0.0,0.0,2.0,0.0
928,KS,Douglas,16.0,12.0,"55,446",2.1,42.5,3.4799999999999995,320939.8,5.0,4.0,10.0,12.0,0.0
929,KS,Edwards,11.0,14.0,"46,825",11.0,88.0,6.32,6570.4,5.0,1.0,6.0,1.0,0.0
931,KS,Ellis,12.0,12.0,"52,265",6.7,65.9,2.8999999999999995,28877.4,1.0,2.0,2.0,1.0,0.0
932,KS,Ellsworth,10.0,12.0,"50,403",9.3,80.4,3.44,6331.0,0.0,4.0,2.0,4.0,0.0
933,KS,Finney,14.0,19.0,"51,812",27.9,81.5,3.5,37097.2,0.0,2.0,0.0,2.0,0.0
934,KS,Ford,13.0,16.0,"47,175",11.2,82.7,5.779999999999999,13470.2,3.0,1.0,4.0,10.0,1.0
935,KS,Franklin,12.0,16.0,"50,155",24.3,87.6,6.36,31507.4,0.0,1.0,1.0,0.0,0.0
936,KS,Geary,12.0,16.0,"46,326",8.7,79.6,6.5200000000000005,35796.2,1.0,4.0,3.0,8.0,0.0
937,KS,Gove,10.0,16.0,"51,445",8.1,77.6,2.7199999999999998,2703.2,0.0,0.0,0.0,1.0,0.0
939,KS,Grant,12.0,17.0,"58,620",10.0,80.2,4.74,18075.8,6.0,3.0,8.0,7.0,0.0
940,KS,Gray,8.0,10.0,"64,274",24.2,80.8,2.4,6004.4,1.0,1.0,2.0,1.0,0.0
941,KS,Greeley,12.0,18.0,"47,620",11.7,70.4,2.08,1282.4,2.0,4.0,6.0,0.0,0.0
942,KS,Greenwood,15.0,22.0,"40,518",9.8,82.3,4.8,6226.8,0.0,0.0,1.0,2.0,0.0
943,KS,Hamilton,14.0,19.0,"49,932",25.0,89.8,6.720000000000001,14238.2,0.0,0.0,0.0,2.0,0.0
945,KS,Harvey,11.0,13.0,"56,848",9.3,72.30000000000001,4.279999999999999,34682.8,3.0,0.0,3.0,2.0,0.0
946,KS,Haskell,10.0,14.0,"50,514",29.0,82.3,2.68,4080.6,4.0,5.0,9.0,5.0,3.0
948,KS,Jackson,9.0,12.0,"57,869",20.5,87.4,6.660000000000001,52325.8,2.0,3.0,8.0,13.0,0.0
949,KS,Jefferson,10.0,12.0,"62,285",11.0,68.6,5.779999999999999,659460.4,2.0,2.0,6.0,7.0,0.0
950,KS,Jewell,13.0,20.0,"40,940",5.6,84.80000000000001,3.8600000000000003,2962.8,0.0,0.0,0.0,0.0,0.0
951,KS,Johnson,6.0,5.0,"80,872",21.0,84.1,5.8,26155.2,2.0,0.0,4.0,8.0,0.0
954,KS,Kiowa,13.0,16.0,"42,976",7.1,79.80000000000001,2.92,1376.0,0.0,2.0,2.0,0.0,0.0
955,KS,Labette,21.0,27.0,"41,103",12.5,82.0,5.779999999999999,20553.2,0.0,0.0,0.0,2.0,0.0
956,KS,Lane,10.0,16.0,"56,677",6.9,78.69999999999999,3.2399999999999998,1630.6,3.0,8.0,17.0,17.0,6.0
957,KS,Leavenworth,9.0,10.0,"67,558",8.5,69.9,4.84,79358.6,16.0,44.0,68.0,89.0,6.0
958,KS,Lincoln,12.0,16.0,"42,092",20.9,92.1,6.08,13884.6,3.0,12.0,13.0,12.0,0.0
961,KS,Lyon,16.0,16.0,"43,600",9.4,78.8,2.24,11744.8,0.0,0.0,0.0,1.0,0.0
962,KS,McPherson,10.0,10.0,"56,488",9.0,71.69999999999999,3.2199999999999998,28792.2,2.0,4.0,3.0,6.0,2.0
963,KS,Marion,11.0,13.0,"51,569",20.1,87.6,6.839999999999999,30058.2,0.0,2.0,2.0,2.0,0.0
964,KS,Marshall,10.0,14.0,"48,687",21.4,83.4,5.720000000000001,94738.2,1.0,0.0,0.0,1.0,0.0
966,KS,Miami,8.0,9.0,"67,651",14.9,88.0,5.779999999999999,36034.6,3.0,0.0,3.0,0.0,0.0
967,KS,Mitchell,12.0,16.0,"49,552",23.4,87.89999999999999,7.279999999999999,22573.6,1.0,0.0,1.0,3.0,2.0
968,KS,Montgomery,19.0,22.0,"41,281",14.5,68.6,6.04,227119.6,9.0,2.0,11.0,5.0,0.0
969,KS,Morris,12.0,16.0,"48,093",12.2,83.2,4.16,5604.6,2.0,3.0,2.0,6.0,1.0
972,KS,Neosho,16.0,22.0,"42,441",8.6,81.1,7.08,16208.8,0.0,0.0,0.0,2.0,0.0
973,KS,Ness,11.0,14.0,"46,439",8.5,79.8,3.02,3000.6,2.0,2.0,5.0,10.0,1.0
974,KS,Norton,14.0,17.0,"45,845",13.4,86.19999999999999,2.56,5526.6,2.0,0.0,2.0,2.0,0.0
975,KS,Osage,11.0,15.0,"54,760",9.0,80.1,5.1,15893.6,1.0,3.0,4.0,4.0,1.0
977,KS,Ottawa,11.0,14.0,"52,808",5.9,78.6,3.9,5957.4,3.0,4.0,5.0,25.0,10.0
978,KS,Pawnee,15.0,19.0,"46,961",10.7,77.6,3.7599999999999993,6776.0,2.0,6.0,12.0,24.0,3.0
979,KS,Phillips,13.0,17.0,"49,386",23.6,88.3,8.120000000000001,19517.8,0.0,0.0,2.0,3.0,0.0
980,KS,Pottawatomie,8.0,9.0,"64,704",4.6,68.0,3.8200000000000003,23188.4,1.0,2.0,3.0,3.0,0.0
981,KS,Pratt,11.0,15.0,"51,419",9.4,74.5,3.7199999999999998,9669.6,0.0,9.0,7.0,12.0,4.0
983,KS,Reno,15.0,18.0,"46,208",12.5,80.9,4.380000000000001,63359.8,0.0,2.0,2.0,0.0,0.0
